Artist,Title,Album,Year,Lyrics,Date,Mood
Ariana Grande,shut up,Positions,2020,my presence sweet and my aura bright diamonds good for my appetite guess it fuckin' just clicked one night all them demons helped me see shit differently so don't be sad for me  pre how you been spending your time how how you be using your tongue how you be so worried 'bout mine mine can't even get yourself none you know you sound so dumb so dumb so dumb you know you sound so dumb so dumb   so maybe you should shut up mmm yeah maybe you should shut up said if only you would shut up mmm yeah that's right you should shut up ah   i vibrate high and my circle lit we ain't really with drugs and shit love the game so i ain't nevеr miss keep opinions muted for the hell of it 'causе i like my shit mmm yep  pre how you been spending your time how how you be using your tongue how you be so worried 'bout mine mine can't even get yourself none you know you sound so dumb so dumb so dumb you know you sound so dumb so dumb   so maybe you should shut up mmm yeah maybe you should shut up said if only you would shut up mmm yeah that's right you should shut up ah,30/10/2020,Energetic
Ariana Grande,obvious,Positions,2020,i love the taste of you in the morning keep me warm and nothin' else nothin' more important makes me wanna believe in love mmm i love the thought of us in the evening crave the feeling the way you feel somethin' 'bout it's healing i'm praying we don't fuck this up ahahah babe  pre others that i've had had to impress me before but i knew you were the real thing when you walked through the door i didn't think that i would have to spell it out   don't put the bands put the bands on me oh my love oh my love is free ain't no price on my loyalty no shit got me right where you want me baby could i be more obvious ooh hard to think when i'm under you tell you all of my dirty truths no shit got me right where you want me baby could i be more obvious   maybe if i'm lucky you might stay the afternoon if you gotta work just promise me you'll come back soon maybe you should pack a suitcase too too i love the thought of you never leavin' no days repeatin' gettin' steps up on the treadmill while you sleepin' never thought i'd believe in love again  pre others that i've had had to impress me before ooh but i knew you were the real thing when you walked through the door i didn't think that i would have to spell it out   don't put the bands put the bands on me oh my love oh my love is free ain't no price on my loyalty no shit got me right where you want me baby could i be more obvious ooh hard to think when i'm under you tell you all of my dirty truths no shit got me right where you want me baby could i be more obvious obvious,30/10/2020,Calm
Ariana Grande,my hair,Positions,2020,said i'ma give you some instructions that you can't be scared to try i want you to touch it softly like the way you do my mind it got body and it's smooth to touch the same way as my skin but don't you be scared   to run your hands through my hair baby 'cause that's why it's there come run your hands through my hair ooh baby so don't you be scared so come run your hands through my hair   it's been way long overdue just like these inches down my back usually don't let people touch it but tonight you get a pass spend my dimes and spend my time to keep it real sometimes it's tracks but i don't care mmm   so run your hands through my hair baby 'cause that's why it's there come run your hands through my hair ooh baby so don't you be scared so come run your hands through my hair   know this ain't usually mе but i might let it down for ya mmm this ain't usually me usually me but i might lеt it down for ya   so run your hands through my hair baby 'cause that's why it's there so come run your hands through my hair ooh don't you be scared come run your hands through my hair   ohoh ohoh ohoh ohoh,30/10/2020,Happy
Ariana Grande,love language,Positions,2020,ooh i know you're probably thinkin' what's the use i promise it's the little things that you do that make me wanna give it all to you you know i do baby  pre you soothe me you hold it down with every word you speak oh babe baby been a minute since i had something so sweet   if you're gonna keep speaking my love language you can talk your shit all night you the medication when i'm feeling anxious that's the kind of shit i like teach me how to love you i'm unlearning what ain't right i want you to keep speaking my love language baby talk your shit all night   why would i double back or do the same thing twice a question something that i can't deny leavе my baggage at the door i'll claim you mine all minе  pre you soothe me you hold it down with every word you speak oh babe baby it's been a minute since i had something so sweet mmm oh hey   if you're gonna keep speaking my love language you can talk your shit all night you the medication when i'm feeling anxious that's the kind of shit i like teach me how to love you i'm unlearning what ain't right i want you to keep speaking my love language baby talk your shit all night   baby pardon my french but could you speak in tongues never lost in translation 'cause you know what i want boy treat it just like givenchy givenchy it's expensive to taste ain't no need to remind ya it's ag in your face   if you're gonna keep speaking my love language you can talk your shit all night you the medication when i'm feeling anxious that's the kind of shit i like teach me how to love you i'm unlearning what ain't right i want you to keep speaking my love language baby talk your shit all night   head over my shoes like woah know you like an inside joke running 'cause you're just my speed 'less you want it in slomo in slomo i'm not what you had before 'fore your exgirlfriend don't want no smoke smoke i ain't tryna sign no lease i'm just gon' make you my home,30/10/2020,Sad
Ariana Grande,six thirty,Positions,2020,ah hey yeah   i know i be on some bullshit know i be driving you crazy but i know you love how i whip it you can only stay mad for a minute so come here and give me some kisses you know i'm very delicious you know i'm very impatient might change my mind so don't keep me waiting  pre i just wonder baby if you're gonna stay even if one day i lose it and go crazy i know this shit kinda heavy i just wanna tell you directly so boy let me know if you ready   are you down what's up are you down what's up are you down are you down are you down are you down are you down mmm   you know you be on some bullshit bullshit act so possessive and crazy crazy but i know that's just 'causе you love me and you ain't scared to show mе your ugly and maybe that's just how it's supposed to be i'm the release you the dopamine  pre and you wonder baby if i'm gonna stay even if one day you lose it and go crazy i know this shit kinda heavy heavy just wanna ask you directly directly boy let me know if you ready   are you down what's up what's up are you down what's up what's up are you down are you down what's up are you down what's up are you down tell me are you down are you gonna be  post six thirty mmm down like six thirty mmm down like sunsets down like sunsets down like my head on your chest mmm down like six thirty ooh down like six thirty six thirty down like my foot on the gas skrrt skrrt down like six thirty yeah   what you gon' do when i'm bored and i wanna play video games at  am what if i need a friend will you ride 'til the end am i enough to keep your love when i'm old and stuff will you still have a crush   are you down what's up are you down what's up are you down oh are you down are you down are you down tell me are you down are you gonna be  post six thirty mmm down like six thirty down like six thirty down like sunsets down like sunsets down like my head on your chest down like my head on your chest down like six thirty ooh down like six thirty six thirty down like my foot on the gas skrrt skrrt down like six thirty yeah,30/10/2020,Energetic
Ariana Grande,Break Free,My Everything,2014,click here to read how zedd and ariana grande got together to make break free   if you want it take it i should've said it before tried to hide it fake it i can't pretend anymore  pre i only wanna die alive never by the hands of a broken heart i don't wanna hear you lie tonight now that i've become who i really am   this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free 'cause i can't resist it no more this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free 'cause i can't resist it no more   you were better deeper i was under your spell yeah like a deadly fever yeah babe on the highway to hell yeah  pre i only wanna die alive never by the hands of a broken heart i don't wanna hear you lie tonight now that i've become who i really am   this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free 'cause i can't resist it no more this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free 'cause i can't resist it no more   no more baby oohoohooh thought of your body i came alive it was lethal it was fatal in my dreams it felt so right but i woke up every time ooh baby   this is the part when i say i don't want ya i'm stronger than i've been before oohoohoohooh this is the part when i break free 'cause i can't resist it no more this is this is the part when i say i don't want ya i'm stronger than i've been before this is the part when i break free 'cause i can't resist it no more,03/07/2014,Calm
Ariana Grande,My Everything,My Everything,2014,i cried enough tears to see my own reflection in them and then it was clear i can't deny i really miss it to think that i was wrong i guess you don't know what you got 'til it's gone pain is just a consequence of love i'm saying sorry for the sake of us   he wasn't my everything 'til we were nothing and it's taking me a lot to say now that he's gone my heart is missing something so it's time i push my pride away 'cause you are you are you are my everything you are you are you are my everything   i know you're not far but i still can't handle all the distance you're traveling with my heart i hope this is a temporary feeling 'cause it's too much to bear without you and i know sorry ain't the cure if i cross your mind just know i'm yours 'cause what we got is worth fighting for 'cause you are   you weren't my everything 'til we were nothing and it's taking me a lot to say now that you're gone my heart is missing something so it's time i push my pride away you are you are you are my everything you are you are you are my everything   ooh hmm ha yeah you are you are you are ooh you are you are you are my everything,22/08/2014,Angry
Ariana Grande,34+35 ,Positions ,2021,ariana grande hmm   ariana grande you might think i'm crazy the way i've been cravin' if i put it quite plainly just gimme them babies so what you doin' tonight better say doin' you right yeah watchin' movies but we ain't seen a thing tonight yeah  pre ariana grande i don't wanna keep you up you up but show me can you keep it up it up 'cause then i'll have to keep you up shit maybe i'ma keep you up boy i've been drinkin' coffee i've been drinkin' coffee coffee and i've been eatin' healthy i've been eatin' healthy healthy you know i keep it squeaky yeah you know i keep it squeaky savin' up my energy yeah yeah saving up my energy   ariana grande can you stay up all night fuck me 'til the daylight thirtyfour thirtyfive yeah yeah yeah yeah can you stay up all night all night fuck mе 'til the daylight thirtyfour thirtyfive yeah yеah yeah yeah   doja cat ariana grande  both can we stay up all night fuck a jet lag you bring your fine ass and overnight bag add up the numbers or get behind that play and rewind that listen you'll find that i want that sixnine without tekashi and i want your body and i'll make it obvious wake up the neighbors we got an audience they hear the clappin' but we not applaudin' 'em yeah yeah six o'clock and i'm crushin' then it get to seven o'clock now he want it uh when it hit eight o'clock we said fuck it forget your girl pretend that i'm her come make the cat purr come make my back hurt ayy makin' that squirt and rain and shower and spray ah now that's perfect baby we don't sleep enough but i'ma keep you up if you can keep it up baby   ariana grande can you stay up all night all night fuck me 'til the daylight daylight thirtyfour thirtyfive yeah yeah yeah yeah can you stay up all night can you stay fuck me 'til the daylight can you stay thirtyfour thirtyfive yeah yeah yeah yeah   megan thee stallion ayy rock you like a baby but you know i'm 'bout to keep you up ah welcome to my channel and today i'm 'bout to teach you somethin' teach you somethin' i can make it pop legs up like a cancan bow bow wake the neighbors up make it sound like the band playin' mwah bow bitch let me get cute yeah he's about to come through he about to come through i've been in the shower for 'bout a whole hour yeah yeah he finna act a dog in it so he get the bald kitty yeah yeah netflix or hulu baby you choose you choose i'm up like starbucks three pumps ooh pumps ooh this pussy good for your health call it superfood superfood when i'm by myself diy like it's youtube ah ah bad bad bitch all the boys wanna spank me spank me left him on read girlfriend need to thank me thank me make his toes point ballerina no tutu baby i'm the best i don't know what the rest do hey hey hey yeah dive in that water like a private island thirtyfour thirtyfive we can sixtynine it ah and i been a bad girl but this pussy on the good list good list i hope you ain't tired we ain't stoppin' 'til i finish ah hey hey yeah   ariana grande can you stay up all night fuck me 'til the daylight yeah yeah thirtyfour thirtyfive yeah yeah yeah yeah thirtyfour thirtyfive can you stay up all night do you know what that means fuck me 'til the daylight do you know what that means thirtyfour thirtyfive yeah yeah yeah yeah yeah yeah yeah   ariana grande means i wanna 69 with you no shit math class never was good,15/01/2021,Happy
Beyonce,Drunk in Love,BEYONCE,2013,beyoncé i've been drinkin' i've been drinkin' i get filthy when that liquor get into me i've been thinkin' i've been thinkin' why can't i keep my fingers off it baby i want you nownow why can't i keep my fingers off you baby i want you na na cigars on ice cigars on ice feelin' like an animal with these cameras all in my grill flashin' lights flashin' lights you got me faded faded faded baby i want you na na can't keep your eyes off my fatty daddy i want you na na drunk in love i want you  pre beyoncé we woke up in the kitchen saying how the hell did this shit happen oh baby drunk in love we be all night last thing i remember is our beautiful bodies grindin' up in that club drunk in love   beyoncé we be all night love love we be all night love love   beyoncé we be all night and everything all right no complaints from my body so fluorescent under these lights boy i'm drinkin' park it in my lot 7 i'm rubbin' on it rubrubbin' if you scared call that reverend boy i'm drinkin' get my brain right armand de brignac gangster wife louis sheets he sweat it out like washrags he wet it up boy i'm drinkin' i'm singin' on the mic to my boy toys then i fill the tub up halfway then ride it with my surfboard surfboard surfboard grainin' on that wood grainin'grainin' on that wood i'm swervin' on that swervin'swervin' on that big body been servin' all this swerve surfin' all in this goodgood hahaha  pre beyoncé we woke up in the kitchen saying how the hell did this shit happen oh baby drunk in love we be all night last thing i remember is our beautiful bodies grindin' up in that club drunk in love   beyoncé  jayz we be all night love love we be all night love love i'm nice right now hold up   jayz that d'ussé is the shit if i do say so myself if i do say so myself if i do say so myself hold up stumble all in the house time to back up all of that mouth that you had all in the car talkin' 'bout you the baddest bitch thus far talkin' 'bout you be reppin' that third i wanna see all that shit that i heard know i sling clint eastwood hope you can handle this curve uh foreplay in a foyer fucked up my warhol slid the panties right to the side ain't got the time to take drawers off on sight catch a charge i might beat the box up like mike in '97 i bite i'm ike turner turn up baby no i don't play now eat the cake anna mae said eat the cake anna mae i'm nice for y'all to reach these heights you gon' need g 4 5 6 flights sleep tight we sex again in the morning your breasteses is my breakfast we goin' in we be all night   beyoncé we be all night love love we be all night love love   beyoncé i'm never tired never tired i been sippin' that's the only thing that's keepin' me on fire we on fire didn't mean to spill that liquor all on my attire i've been drinkin' watermelon i want your body right here daddy i want you right now can't keep your eyes off my fatty daddy i want you   beyoncé we be all night love love we be all night love love  produced by noah detail fisher beyoncé knowles timbaland jerome harmon boots and andre proctor,17/12/2013,Sad
Beyonce,Formation,Lemonade,2016,messy mya what happened at the new wil'ins bitch i'm back by popular demand  refrain beyoncé y'all haters corny with that illuminati mess paparazzi catch my fly and my cocky fresh i'm so reckless when i rock my givenchy dress stylin' i'm so possessive so i rock his roc necklaces my daddy alabama momma louisiana you mix that negro with that creole make a texas bama i like my baby heir with baby hair and afros i like my negro nose with jackson five nostrils earned all this money but they never take the country out me i got hot sauce in my bag swag  interlude messy mya  big freedia oh yeah baby oh yeah i oh oh yes i like that i did not come to play with you hoes haha i came to slay bitch i like cornbreads and collard greens bitch oh yes you besta believe it  refrain beyoncé y'all haters corny with that lluminati mess paparazzi catch my fly and my cocky fresh i'm so reckless when i rock my givenchy dress stylin' i'm so possessive so i rock his roc necklaces my daddy alabama momma louisiana you mix that negro with that creole make a texas bama i like my baby heir with baby hair and afros i like my negro nose with jackson five nostrils earned all this money but they never take the country out me i got hot sauce in my bag swag   beyoncé i see it i want it i stunt yellow boneit i dream it i work hard i grind 'til i own it i twirl on them haters albino alligators el camino with the seat low sippin' cuervo with no chaser sometimes i go off i go off i go hard i go hard get what's mine take what's mine i'm a star i'm a star 'cause i slay slay i slay hey i slay okay i slay okay all day okay i slay okay i slay okay i slay okay we gon' slay slay gon' slay okay we slay okay i slay okay i slay okay okay okay i slay okay okay okay okay okay okay okay ladies now let's get in formation 'cause i slay okay ladies now let's get in formation 'cause i slay prove to me you got some coordination 'cause i slay slay trick or you get eliminated  verse beyoncé when he fuck me good i take his ass to red lobster 'cause i slay when he fuck me good i take his ass to red lobster we gon slay if he hit it right i might take him on a flight on my chopper i slay drop him off at the mall let him buy some j's let him shop up 'cause i slay i might get your song played on the radio station 'cause i slay i might get your song played on the radio station 'cause i slay you just might be a black bill gates in the making 'cause i slay i just might be a black bill gates in the making   beyoncé i see it i want it i stunt yellow boneit i dream it i work hard i grind 'til i own it i twirl on my haters albino alligators el camino with the seat low sippin' cuervo with no chaser sometimes i go off i go off i go hard i go hard take what's mine take what's mine i'm a star i'm a star 'cause i slay slay i slay hey i slay okay i slay okay i slay okay i slay okay i slay okay i slay okay we gon' slay slay gon' slay okay we slay okay i slay okay i slay okay okay okay i slay okay okay okay okay okay okay okay ladies now let's get in formation i slay okay ladies now let's get in formation 'cause i slay prove to me you got some coordination 'cause i slay slay trick or you get eliminated i slay   beyoncé okay ladies now let's get in formation i slay okay ladies now let's get in formation you know you that bitch when you cause all this conversation always stay gracious best revenge is your paper   girl i hear some thunder golly look at that water boy oh lord,06/02/2016,Energetic
Beyonce,Partition,BEYONCE,2013,part  yoncé   let me hear you say hey ms carter hey ms carter say hey ms carter hey ms carter give me some   see me up in the club with fifty'leven girls posted in the back diamond fangs in my grill brooklyn brim with my eyes sitting low every boy in here with me got that smoke every girl in here got to look me up and down all on instagram cake by the pound circulate the image every time i come around g's up tell me how i'm looking babe   boy this all for you just walk my way just tell me how it's looking babe just tell me how it's looking babe how it's looking babe i do this all for you baby just take aim and tell me how it's looking babe how it's looking babe tell me how it's looking babe looking babe   drop the bass mane the bass get lower radio say speed it up i just go slower high like treble pumping on the mids ya man ain't ever seen a booty like this and why you think ya keep my name rolling off the tongue 'cause when he wanna smash i'll just write another one i sneezed on the beat and the beat got sicker yoncé all on his mouth like liquor  hook yoncé all on his mouth like liquor yoncé all on his mouth like liquor yoncé all on his mouth like liquor like like liquor like like like liquor yoncé all on his mouth like liquor yoncé all on his mouth like liquor yoncé all on his mouth like liquor like like liquor like like like liquor   beyoncé beyoncé are you happy to be in paris are you happy to be in paris beyoncé beyoncé beyoncé  part  partition   driver roll up the partition please   driver roll up the partition please i don't need you seeing 'yoncé on her knees took fortyfive minutes to get all dressed up we ain't even gonna make it to this club now my mascara running red lipstick smudged oh he so horny yeah he want to fuck he popped all my buttons and he ripped my blouse he monica lewinsky'd all on my gown  pre oh there daddy daddy didnt bring the towel oh baby baby we better slow it down took fortyfive minutes to get all dressed up we ain't even gon' make it to this club   take all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with me right here with me right here with me right here with me   driver roll up the partition fast hey driver roll up the partition fast over there i swear i saw them cameras flash handprints and footprints on my glass handprints and good grips all on my ass private show with the music blasting he like to call me peaches when we get this nasty red wine drip well talk that trash chauffeur eavesdropping trying not to crash  pre oh there daddy daddy now you ripped my fur oh baby baby be sweating out my hair took fortyfive minutes to get all dressed up we ain't even gon' make it to this club   take all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with me right here with me right here with me right here with me   hello estce que tu aimes le sexe  le sexe je veux dire  l'activité physique le coït tu aimes ça  tu ne t'intéresses pas au sexe  les hommes pensent que les féministes détestent le sexe mais c'est une activité très stimulante et naturelle que les femmes adorent   take all of me i just wanna be the girl you like girl you like the kind of girl you like girl you like take all of me i just wanna be the girl you like girl you like the kinda girl you like is right here with me right here with me right here with me right here with me hello   bzzbzzbzzbzzbzzbzzwop,13/12/2013,Calm
Beyonce,Mine,BEYONCE,2013,beyoncé i've been watching for the signs took a trip to clear my mind oh now i'm even more lost and you're still so fine oh my oh my been having conversations about breakups and separations i'm not feeling like myself since the baby are we gonna even make it oh 'cause if we are we're taking this a little too far if we are we're taking this a little too far baby if we are we're taking this a little too far me being wherever i'm at worried about wherever you are we're taking this a little too far we're taking this a little too far we're taking this a little too far    drake know you wanna roll with a good girl do it big do it all for a good girl one time this is a song for the good girl dont sleep when you know you got it good girl one time this is a song for the good girl wanna roll wanna roll with a good girl one time this is a song for the good girl and i still keep it hood still treat you like i should wassup   beyoncé on my mind up past my bedtime no rest at the kingdom alone in my place my heart is away all that i can think of is we should get married we should get married let's stop holding back on this and let's get carried away  pre beyoncé stop making a big deal out of the little things 'cause i got big deals and i got little things got everything i'm asking for but you stop making a big deal out of the little things let's get carried away come right now you know where i stay    drake  beyoncé i just wanna say you're mine you're mine i just wanna say you're mine you're mine fuck what you heard you're mine you're mine all i'm really asking for is you you're mine you're mine i just wanna say you're mine you're mine fuck what you heard you're mine you're mine as long as you know who you belong to    drake know you wanna roll with a good girl do it big do it all for a good girl one time this is a song for the good girl dont sleep when you know you got it good girl one time this is a song for the good girl wanna roll wanna roll with a good girl one time this is a song for the good girl and i still keep it hood still treat you like i should wassup   drake from eight until late i think bout you you own my nights i dont know what to do do i can't get no rest can't get no sleep this whole thing got way too deep and we should  pre drake stop making a big deal out of the little things 'cause i got big deals and i got little things got everything i'm asking for but you stop making a big deal out of the little things let's get carried away come right now you know where i stay    drake  beyoncé i just wanna say you're mine you're mine i just wanna say you're mine you're mine fuck what you heard you're mine you're mine all i'm really asking for is you you're mine you're mine i just wanna say you're mine you're mine fuck what you heard you're mine you're mine as long as you know who you belong to    drake know you wanna roll with a good girl do it big do it all for a good girl one time this is a song for the good girl dont sleep when you know you got it good girl one time this is a song for the good girl wanna roll wanna roll with a good girl one time this is a song for the good girl and i still keep it hood still treat you like i should wassup  4 drake pull up on you i gotta pull up on you you gon' make me have to pull up on you dont go ghost on me i'ma go thriller on you i'ma just pull up on you i'ma let my hands do the talking when i see you baby girl i miss feeling on youpull up on you i miss everything that's real about you and that's everything about you that's just how i feel about you pull up on you i been about you and im still about you but we ain't finished talking pull up on you i told you you dont need to worry about them bitches all them fives need to listen when the ten is talking pull up on you 'cause they dont wanna see you happier than them and girl you swear they all ya friends and that's been a problem pull up on you you the one they hate just come with that i know you think it's funny that your ex is not a running back but that nigga came running back pull up on you and you tell me that youre done with that and i believe it's true as long as you know who you belong to   beyoncé all im really asking for is you long as you know who you belong to,13/12/2013,Angry
Beyonce,Hold Up,Lemonade,2016,hold up they don't love you like i love you slow down they don't love you like i love you back up they don't love you like i love you step down they don't love you like i love you can't you see there's no other man above you what a wicked way to treat the girl that loves you hold up they don't love you like i love you oh down they don't love you like i love you   something don't feel right because it ain't right especially comin' up after midnight i smell your secrets and i'm not too perfect to ever feel this worthless how did it come down to this scrolling through your call list i don't wanna lose my pride but i'ma fuck me up a bitch know that i kept it sexy you know i kept it fun there's something that i'm missing maybe my head for one  refrain what's worst lookin' jealous or crazy jealous or crazy or like being walked all over lately walked all over lately i'd rather be crazy   hold up they don't love you like i love you slow down they don't love you like i love you back up they don't love you like i love you step down they don't love you like i love you can't you see there's no other man above you what a wicked way to treat the girl that loves you hold up they don't love you like i love you slow down they don't love you like i love you   let's imagine for a moment that you never made a name for yourself or mastered wealth they had you labeled as a king never made it out the cage still out there movin' in them streets never had the baddest woman in the game up in your sheets would they be down to ride no they used to hide from you lie to you but y'all know we were made for each other so i find you and hold you down me sing se   hold up they don't love you like i love you slow down they don't love you like i love you back up they don't love you like i love you step down they don't love you like i love you can't you see there's no other man above you what a wicked way to treat the girl that loves you hold up they don't love you like i love you slow down they don't love you like i love you   hey this such a shame you let this good love go to waste i always keep the top tier 5 star backseat lovin' in the car like make that wood like make that wood holly like a boulevard  refrain what's worse lookin' jealous or crazy jealous and crazy or like being walked all over lately walked all over lately i'd rather be crazy   hold up they don't love you like i love you slow down they don't love you like i love you back up they don't love you like i love you step down they don't love you like i love you can't you see there's no other man above you what a wicked way to treat the girl that loves you hold up they don't love you like i love you oh down they don't love you like i love you   i hop up out my bed and get my swag on i look in the mirror say what's up what's up what's up what's up i hop up out my bed and get my swag on i look in the mirror say what's up what's up what's up what's up,23/04/2016,Happy
Beyonce,Flawless ,BEYONCE ,2014,beyoncé dumdadeda do do do do do do coming down dripping candy on the ground   beyoncé it's that yoncé your yoncé in that lingerie on that chardonnay scoring touchdowns on your runway i'm texas forever like bun b and i'm ramboing these hoes i'm really rit' like donjae i'm camoing these hoes these thots can't clock me nowadays you wish i was your pound cake boy you know i look good as fuck wish i was your baby momma want me to come around and give you good karma but no we escalating up in this bitch like elevators of course sometimes shit go down when it's a billion dollars on an elevator of course sometimes shit go down when it's a billion dollars on an elevator haha god damn god damn god damn    beyoncé momma taught me good home training my daddy taught me how to love my haters my sister told me i should speak my mind my man made me feel so god damn fine i'm flawless   beyoncé you wake up flawless post up flawless ridin' round in it flawless flossin' on that flawless this diamond flawless my diamond flawless this rock flawless my roc flawless i woke up like this i woke up like this we flawless ladies tell 'em i woke up like this i woke up like this we flawless ladies tell 'em say i look so good tonight god damn god damn say i look so good tonight god damn god damn god damn    beyoncé i wake up looking this good god damn god damn god damn and i wouldn't change it if i could if i if i if i if i and you can say what you want i'm the shit what you want i'm the shit i'm the shit i'm the shit i'm the shit i'm the shit i want everyone to feel like this tonight god damn god damn god damn  sample spottieottiedopaliscious onika   nicki minaj  beyoncé looking trinidadian japanese and indian got malaysian got that yaki that wavy brazilian them bitches thirsty uhn i'm hungarian nicki b be eating diamond fangs barbarian raaaah yo like mj doctor they killing me  propofol i know they hope i fall but tell 'em winning is my motherfuckin' protocol 'cause i score before i ever throw the ball these bitches washed up and ain't no fuckin' soap involved uhn this every hood nigga dream fantasizin' 'bout nicki and b curvalicious pussy served delicious mayday mayday earth to bitches slap these hoes on they ass like we birthing bitches uhn the queen of rap slayin' with queen b if you ain't on the team you playin' for team d 'cause we alisters uh we paid sisters this watch right here done phased blizzards i confess i woke up like this all this drank in my cup like this all this ass on that flawless dick instagram another flawless pic flawless city with these flawless titties i got all these hundreds you got all them fifties i'm with some flawless bitches 'cause they more than pretty 'cause niggas love bad bitches that be on they grizzly throw that ass back i be on my frisbee princesscut diamonds on my disney he want monster nicki in sri lanka i told him meet me at the trump ivanka i said come here let me show you how this cookie taste this that yeah nigga eat the cookie face   right right right,02/08/2014,Sad
Beyonce,Sorry,Lemonade,2016,sorry i ain't sorry sorry i ain't sorry i ain't sorry nigga nah sorry i ain't sorry sorry i ain't sorry i ain't sorry   he trying to roll me up i ain't sorry i ain't picking up i ain't sorry headed to the club i ain't sorry i ain't thinking 'bout you i ain't sorry me and my ladies sip my d'ussé cups i don't give a fuck chucking my deuces up suck on my balls pause i had enough sorry i ain't sorry i ain't thinking 'bout you i ain't thinking 'bout  pre middle fingers up put them hands high wave it in his face tell him boy bye sorry i ain't sorry tell him boy bye boy bye middle fingers up i ain't thinking 'bout you   sorry i ain't sorry you sorry i ain't sorry you i ain't sorry nigga nah i ain't thinking 'bout you sorry i ain't sorry sorry i ain't sorry i ain't sorry no no hell nah   now you wanna say you're sorry now you wanna call me crying now you gotta see me wilding now i'm the one that's lying and i don't feel bad about it it's exactly what you get stop interrupting my grinding you interrupting my grinding i ain't thinking 'bout you   sorry i ain't sorry i ain't thinking 'bout you i ain't thinking 'bout you sorry i ain't sorry i ain't thinking 'bout you i ain't thinking 'bout you  pre middle fingers up put them hands high wave it in his face tell him boy bye bye sorry i ain't sorry tell him boy bye bye boy bye bye middle fingers up i ain't thinking 'bout you   sorry i ain't sorry sorry i ain't sorry i ain't sorry nigga nah sorry i ain't sorry sorry i ain't sorry i ain't sorry no no hell nah   looking at my watch he shoulda been home today i regret the night i put that ring on he always got them fucking excuses i pray to the lord you reveal what his truth is   i left a note in the hallway by the time you read it i'll be far away i'm far away but i ain't fucking with nobody let's have a toast to the good life suicide before you see this tear fall down my eyes me and my baby we gon' be alright we gon' live a good life big homie better grow up me and my whoadies 'bout to stroll up i see them boppers in the corner they sneaking out the back door he only want me when i'm not there he better call becky with the good hair he better call becky with the good hair,23/04/2016,Energetic
Beyonce,If I Were a Boy,I Am... Sasha Fierce,2008,if i were a boy even just for a day i'd roll out of bed in the morning and throw on what i wanted then go drink beer with the guys and chase after girls i'd kick it with who i wanted and i'd never get confronted for it 'cause they'd stick up for me   if i were a boy i think i could understand how it feels to love a girl i swear i'd be a better man i'd listen to her 'cause i know how it hurts when you lose the one you wanted 'cause he's taken you for granted and everything you had got destroyed   if i were a boy i would turn off my phone tell everyone it's broken so they'd think that i was sleepin' alone i'd put myself first and make the rules as i go 'cause i'd know that she'd be faithful waitin' for me to come home to come home   if i were a boy i think i could understand how it feels to love a girl i swear i'd be a better man i'd listen to her 'cause i know how it hurts when you lose the one you wanted wanted 'cause he's taken you for granted granted and everything you had got destroyed   it's a little too late for you to come back say it's just a mistake think i'd forgive you like that if you thought i would wait for you you thought wrong   but you're just a boy you don't understand yeah you don't understand oh how it feels to love a girl someday you'll wish you were a better man you don't listen to her you don't care how it hurts until you lose the one you wanted 'cause you've taken her for granted and everything you have got destroyed but you're just a boy,12/10/2008,Calm
Beyonce,Pray You Catch Me,Lemonade,2016,you can taste the dishonesty it's all over your breath as you pass it off so cavalier but even that's a test constantly aware of it all my lonely ear pressed against the walls of your world   pray to catch you whispering i pray you catch me listening i'm prayin' to catch you whispering i pray you catch me i'm prayin' to catch you whispering i pray you catch me listening i pray you catch me   nothing else ever seems to hurt like the smile on your face when it's only in my memory it don't hit me quite the same maybe it's a cause for concern but i'm not at ease keeping my head to the curb   pray to catch you whispering i pray you catch me listening i pray to catch you whispering whisper whisper i pray you catch me whisper whisper i pray you catch me i pray you catch me pray you i'm praying you catch me   what are you doing my love,23/04/2016,Angry
